Reporting_Airline,flights,mean_arr_delay,delay_rate,total_cause_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cause_delay_per_flight
G4,2260,10.031527531083482,0.39247787610619467,36605.0,13951.0,4034.0,5198.0,88.0,13334.0,16.196902654867255
B6,37033,8.966919328641039,0.41057975319309803,586799.0,163731.0,16573.0,169815.0,1479.0,235201.0,15.845300137715011
EV,65584,9.315618934079202,0.40610514759697486,984890.0,348004.0,58716.0,240590.0,486.0,337094.0,15.017229812149305
NK,8463,6.467991953614956,0.36003781165071486,117837.0,20066.0,3430.0,63098.0,233.0,31010.0,13.923785891527826
YV,21861,8.410168248292303,0.3915648872421207,296314.0,124701.0,14630.0,51251.0,623.0,105109.0,13.554457710077306
OH,23975,8.205267558528428,0.4270281543274244,318652.0,117137.0,55934.0,83520.0,201.0,61860.0,13.291011470281543
F9,14175,7.936846566826787,0.448042328042328,181385.0,44864.0,3493.0,57722.0,7.0,75299.0,12.796119929453262
XE,34831,8.72189741078886,0.44113002784875543,443363.0,92292.0,21842.0,176298.0,1081.0,151850.0,12.72897706066435
YX,7350,3.404391707583197,0.3234013605442177,92198.0,21455.0,4658.0,32012.0,30.0,34043.0,12.543945578231293
VX,3961,5.346484572584725,0.38702347891946476,48069.0,9358.0,2130.0,19840.0,150.0,16591.0,12.135571825296642
