airport,role,flights,pct_delayed,dominant_cause,avg_arr_delay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,share_CarrierDelay,share_WeatherDelay,share_NASDelay,share_SecurityDelay,share_LateAircraftDelay,cluster
ABE,Origin,1596,0.4022556390977443,NASDelay,,2866.0,204.0,2928.0,0.0,2826.0,0.3247960108794198,0.023118766999093383,0.3318223028105168,0.0,0.32026291931097006,
ABI,Origin,462,0.3095238095238095,CarrierDelay,,1784.0,339.0,578.0,0.0,1199.0,0.4574358974358974,0.08692307692307692,0.1482051282051282,0.0,0.30743589743589744,
ABQ,Origin,10779,0.4231375823360238,LateAircraftDelay,,10365.0,1809.0,8193.0,52.0,23859.0,0.2340891639188762,0.04085550386196305,0.18503545778942138,0.0011743981209630064,0.5388454763087763,6.0
ABR,Origin,80,0.275,CarrierDelay,,1839.0,73.0,66.0,9.0,346.0,0.7882554650664381,0.031290184312044576,0.02828975567938277,0.0038576939562794685,0.1483069009858551,
ABY,Origin,182,0.489010989010989,CarrierDelay,,1088.0,108.0,789.0,0.0,913.0,0.3754313319530711,0.037267080745341616,0.2722567287784679,0.0,0.3150448585231194,
ACK,Origin,73,0.5205479452054794,NASDelay,,53.0,0.0,1567.0,9.0,656.0,0.023194748358862146,0.0,0.6857768052516411,0.003938730853391685,0.287089715536105,
ACT,Origin,325,0.2892307692307692,CarrierDelay,,812.0,121.0,383.0,0.0,611.0,0.4213803840166061,0.06279190451478983,0.19875454073689672,0.0,0.3170731707317073,
ACV,Origin,524,0.3912213740458015,LateAircraftDelay,,1597.0,97.0,2316.0,0.0,4343.0,0.19118879444510953,0.011612594277505089,0.27726565305878126,0.0,0.5199329582186041,
ACY,Origin,270,0.3518518518518518,LateAircraftDelay,,1038.0,25.0,932.0,0.0,1094.0,0.3360310780187763,0.00809323405632891,0.30171576561994173,0.0,0.3541599223049531,
ADK,Origin,22,0.4090909090909091,LateAircraftDelay,,23.0,0.0,0.0,28.0,48.0,0.23232323232323232,0.0,0.0,0.2828282828282828,0.48484848484848486,
ADQ,Origin,166,0.4698795180722891,LateAircraftDelay,,78.0,94.0,30.0,84.0,242.0,0.14772727272727273,0.17803030303030304,0.056818181818181816,0.1590909090909091,0.4583333333333333,
AEX,Origin,568,0.380281690140845,LateAircraftDelay,,1871.0,524.0,1939.0,214.0,3020.0,0.24722515856236787,0.06923890063424948,0.2562103594080338,0.028276955602537,0.39904862579281186,
AGS,Origin,813,0.4317343173431734,LateAircraftDelay,,1776.0,656.0,2201.0,0.0,3493.0,0.21855771597341866,0.08072852571991139,0.2708589712035442,0.0,0.42985478710312575,
AKN,Origin,69,0.5797101449275363,LateAircraftDelay,,104.0,0.0,16.0,0.0,602.0,0.1440443213296399,0.0,0.0221606648199446,0.0,0.8337950138504155,
ALB,Origin,4072,0.4214145383104126,LateAircraftDelay,,5927.0,1256.0,7595.0,0.0,7818.0,0.2623030624889361,0.05558505930253142,0.3361214374225527,0.0,0.34599044078597985,
