Month,total_CarrierDelay,avg_CarrierDelay,total_WeatherDelay,avg_WeatherDelay,total_NASDelay,avg_NASDelay,total_SecurityDelay,avg_SecurityDelay,total_LateAircraftDelay,avg_LateAircraftDelay,flights,pct_delayed,avg_arr_delay
1,316121.0,1.9212410356144405,70754.0,0.4300109395891576,288040.0,1.7505773672055427,1545.0,0.0093898140269843,390854.0,2.37543454479154,,,
2,296594.0,1.958349565205908,59163.0,0.3906411974830143,262894.0,1.7358353526883283,1661.0,0.0109672435309109,369627.0,2.4405715379891846,,,
3,316035.0,1.8490121167088889,41577.0,0.2432527307937585,275069.0,1.6093341368234448,1357.0,0.0079393403970255,402761.0,2.35641612206809,,,
4,278439.0,1.7307462797896542,46922.0,0.2916620047489402,252849.0,1.5716816469622945,977.0,0.0060729248250226,360720.0,2.2421959497258794,,,
5,279875.0,1.6997455316202772,50593.0,0.3072629769763812,281570.0,1.7100396581985582,846.0,0.005137953442611,388850.0,2.361575881984975,,,
6,393010.0,2.402863798384681,78076.0,0.4773567947957617,356280.0,2.178296516853245,1566.0,0.0095745266234202,563800.0,3.447074144498316,,,
7,408306.0,2.416784061179312,77973.0,0.4615261681247262,362898.0,2.148011790749707,1784.0,0.0105595870869982,567787.0,3.360760242917856,,,
8,350063.0,2.067512816272532,62509.0,0.3691854284296818,317350.0,1.8743060313260411,3034.0,0.017919157079071,480301.0,2.8367136006047864,,,
9,228904.0,1.4578572611359495,33627.0,0.21416561580496,216124.0,1.3764632453157044,1312.0,0.0083559427821722,261042.0,1.6625396461462034,,,
10,258299.0,1.531468448544714,33060.0,0.1960144906054156,246782.0,1.4631835456922466,1369.0,0.0081168734917971,308414.0,1.8286029372528323,,,
11,238676.0,1.4903464295526638,30725.0,0.191853785248645,229043.0,1.4301958188675474,1133.0,0.0070747058970452,291663.0,1.8212091315533128,,,
12,382503.0,2.3402264954388885,67106.0,0.4105673398716403,324515.0,1.985444823092501,2241.0,0.0137108665194221,505862.0,3.094960445893776,,,
