Origin,avg_CarrierDelay,avg_WeatherDelay,avg_NASDelay,avg_SecurityDelay,avg_LateAircraftDelay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,delay_rate,dominant_cause,flights
ABE,1.7957393483709274,0.12781954887218044,1.8345864661654134,0.0,1.7706766917293233,2866.0,204.0,2928.0,0.0,2826.0,0.40225563909774437,NASDelay,1596
ABI,3.8614718614718613,0.7337662337662337,1.251082251082251,0.0,2.5952380952380953,1784.0,339.0,578.0,0.0,1199.0,0.30952380952380953,CarrierDelay,462
ABQ,0.9615919844141386,0.16782632897300306,0.7600890620651266,0.004824195194359403,2.2134706373504036,10365.0,1809.0,8193.0,52.0,23859.0,0.4231375823360238,LateAircraftDelay,10779
ABR,22.9875,0.9125,0.825,0.1125,4.325,1839.0,73.0,66.0,9.0,346.0,0.275,CarrierDelay,80
ABY,5.978021978021978,0.5934065934065934,4.335164835164835,0.0,5.016483516483516,1088.0,108.0,789.0,0.0,913.0,0.489010989010989,CarrierDelay,182
ACK,0.726027397260274,0.0,21.465753424657535,0.1232876712328767,8.986301369863014,53.0,0.0,1567.0,9.0,656.0,0.5205479452054794,NASDelay,73
ACT,2.4984615384615383,0.3723076923076923,1.1784615384615384,0.0,1.88,812.0,121.0,383.0,0.0,611.0,0.28923076923076924,CarrierDelay,325
ACV,3.0477099236641223,0.1851145038167939,4.419847328244275,0.0,8.288167938931299,1597.0,97.0,2316.0,0.0,4343.0,0.39122137404580154,LateAircraftDelay,524
ACY,3.8444444444444446,0.09259259259259259,3.4518518518518517,0.0,4.051851851851852,1038.0,25.0,932.0,0.0,1094.0,0.35185185185185186,LateAircraftDelay,270
ADK,1.0454545454545454,0.0,0.0,1.2727272727272727,2.1818181818181817,23.0,0.0,0.0,28.0,48.0,0.4090909090909091,LateAircraftDelay,22
ADQ,0.46987951807228917,0.5662650602409639,0.18072289156626506,0.5060240963855421,1.4578313253012047,78.0,94.0,30.0,84.0,242.0,0.46987951807228917,LateAircraftDelay,166
AEX,3.2940140845070425,0.9225352112676056,3.413732394366197,0.3767605633802817,5.316901408450704,1871.0,524.0,1939.0,214.0,3020.0,0.38028169014084506,LateAircraftDelay,568
AGS,2.1845018450184504,0.8068880688806888,2.7072570725707257,0.0,4.296432964329643,1776.0,656.0,2201.0,0.0,3493.0,0.4317343173431734,LateAircraftDelay,813
AKN,1.5072463768115942,0.0,0.2318840579710145,0.0,8.72463768115942,104.0,0.0,16.0,0.0,602.0,0.5797101449275363,LateAircraftDelay,69
